OBJECTID,Country,Region,Subregion,Location,State_Region,Location_type,Project_name,Capacity_m3_d,Size_,Capacity_MGD,Capacity_MIGD,Units,Unit_size_m3_d,Unit_size_MGD_,Unit_size_MIGD_,Technical_notes,Technology,Thermal_design,Thermal_equipment,Membrane_supplier_RO_,Membrane_type_RO_,ERD_supplier,ERD_type,DAF_pretreatment_supplier,DAF_brand,MF_UF_Pretreatment_Supplier,MF_UF_brand,Other_pretreatment,Feedwater,Award_date,Online_date,Consultant,Consultant_2,Consultant_3,Customer_type,Industry,Customer,Plant_status,Plant_type,Plant_supplier,Plant_supplier_share,Plant_supplier_2,Plant_supplier_2_share,Plant_supplier_3,Plant_supplier_3_share,Plant_supplier_4,Plant_supplier_4_share,Plant_supplier_5,Plant_supplier_5_share,Procurement_model,Concession_period,Dev_consortium,Developer,Dev_share,Developer_2,Dev2_share,Developer_3,Dev3_share,Developer_4,Dev4_share,Developer_5,Dev5_share,Developer_6,Dev6_share,EPC_price,Water_price_USD_m3_,Last_update,Latitude,Longitude,Contact,Feedwater_Ph,Feedwater_salinity,Feedwater_temp_minimum,Feedwater_temp_maximum,Product_water_salinity,Product_water_temp,Civil_contractor_offshore_,Civil_contractor_onshore_,Consultant_1,Developer_codeveloper,Engineering_Consultancy,Environmental_advisor,EPC_contractor_desal_,EPC_contractor_pipeline_,EPC_contractor_power_,EPCM_contractor,Equipment_Supplier_Desal_uns_87,Equipment_supplier_Membranes_88,Equipment_Supplier_Chemical__89,Equipment_supplier_DAF_pretr_90,Equipment_Supplier_Energy_Re_91,Equipment_Supplier_Glass_Rei_92,Equipment_Supplier_High_Pres_93,Equipment_Supplier_Low_Press_94,Equipment_Supplier_Membranes_95,Equipment_Supplier_Membranes_96,Equipment_Supplier_Motors,Equipment_Supplier_Pipes_uns_98,Equipment_Supplier_Pressure__99,Equipment_Supplier_Pretreatm_100,Equipment_Supplier_Pumps_Bri_101,Equipment_Supplier_Pumps_Bri_102,Equipment_Supplier_Pumps_Hig_103,Equipment_Supplier_Pumps_Not_104,Equipment_Supplier_Steel,Equipment_Supplier_Valves,Financial_advisor,Government_agency,Holding_Company,Insurance_adviser,Legal_advisor,Lender,Lender_engineer,O_M_contractor,Off_taker,Owner___Client,Owners_engineer,Prime_contractor,Project_Company,Sponsor,Subcontractor,Technical_advisor,Technology_provider,Winner,Short_listed1,Short_listed2,Short_listed3,Short_listed4,Short_listed5,Bid_submitted1,Bid_submitted2,Bid_submitted3,Bid_submitted4,Bid_submitted5,Pre_qualified1,Pre_qualified2,Pre_qualified3,Pre_qualified4,Pre_qualified5,Statement_of_qualification1,Statement_of_qualification2,Statement_of_qualification3,Statement_of_qualification4,Statement_of_qualification5,RO_System,RO_Configuration,RO_Feed_Pump_Drive,RO_Control_Type,RO_Energy_Recovery,RO_Electrical_Power_Consumpt_150,RO_Membrane_Type,RO_Pre_Treament_1st_Stage,RO_NPS_Or_MWCO,RO_Pre_Treament_2nd_Stage,RO_Pre_Treament_3rd_Stage,RO_Pre_Treament_4th_Stage,RO_Pre_Treament_5th_Stage,RO_Passivation,RO_Disinfection,RO_Dosed_Chemical_1st_Stage,MED_Design,MED_System,MED_Equipment,MED_Type,MED_Geometry,MED_Configuration,MED_Power_Consumption,MED_Gain_Output_Ratio,MSF_Design,MSF_System,MSF_Equipment,MSF_Type,MSF_Geometry,MSF_Configuration,MSF_Heat_Recovery_Stages,MSF_Heat_Rejection_Stages,MSF_Gain_Output_Ratio
586,U.S.A.,Americas,North America,Carson,California,Land based,BP Carson Refinery,"4,920",M,1.300000000000000,1.080000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2005,2006,,,,Industry (TDS <10ppm),Oil & Gas,,Online,,H2O Innovation,100,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2017-12-22 09:31:16 UTC,33.840718000000003,-118.249502000000007,,,,,,0,,,,,,,,"Membrane Systems, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,H2O Innovation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,U.S.A.,Americas,North America,,Illinois,Land based,Illinois,"4,906",M,1.300000000000000,1.080000000000000,,,,,"Closed Circuit Desalination (CCD), bag filters pretreatment",RO (Reverse Osmosis),,,Hydranautics,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2015,2015,,,,Irrigation (TDS <1000ppm),,,Online,,Gaon Holdings Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-09-11 10:22:40 UTC,40.633124899999999,-89.398528299999995,,,,,,,,,,,,,,"Desalitech, Ltd.",,,,,,,,,,,,,,,,,"Desalitech, Ltd.",,,,,,,,,Gaon Holdings Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,U.S.A.,Americas,North America,St. Louis,Missouri,Land based,St Louis,"4,906",M,1.300000000000000,1.080000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),2012,2013,,,,Industry (TDS <10ppm),Food & Beverage,,Online,,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2014-04-03 15:30:45 UTC,38.627273299999999,-90.197888899999995,,,,,,,,,,,,,,GE Water & Process Technologies ,,,,,,,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,U.S.A.,Americas,North America,Kern County,California,Land based,Kern County,"4,905",M,1.300000000000000,1.080000000000000,3,1635.000000000000000,0.430000000000000,0.360000000000000,,RO (Reverse Osmosis),,,,Spiral Wound Membrane,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),1992,1992,,,,Power stations (TDS <10ppm),Power,Power Station ,Presumed Online,Stand-alone,Graver Water Systems,100,,,,,,,,,EPC,1,,,,,,,,,,,,,,"3,890,000 USD",,2014-04-03 15:29:55 UTC,35.295833000000002,-118.667500000000004,,,,,,,,,,,,,,Graver Water,,,,,,,,,,,,,,,,,,,,,,,,,,Graver Water Systems,,,,,,,Power Station ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
593,U.S.A.,Americas,North America,Gresham,Oregon,Land based,Gresham,"4,905",M,1.300000000000000,1.080000000000000,1,4905.000000000000000,1.300000000000000,1.080000000000000,,RO (Reverse Osmosis),,,,Hollow Fibre Membrane,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),1997,1997,,,,Industry (TDS <10ppm),,,Online,Stand-alone,"Evoqua Water Technologies, LLC",100,,,,,,,,,EPC,,,,,,,,,,,,,,,"3,490,000 USD",,2012-06-27 03:32:24 UTC,45.498175699999997,-122.431479600000003,,,,,,,,,,,,,,Siemens Water Technologies,,,,,DuPont,,,,,,,,,,,,,,,,,,,,,"Evoqua Water Technologies, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Hollow Fibre Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
594,U.S.A.,Americas,North America,Muscatine,Iowa,Land based,Muscatine,"4,905",M,1.300000000000000,1.080000000000000,1,4905.000000000000000,1.300000000000000,1.080000000000000,,RO (Reverse Osmosis),,,,Spiral Wound Membrane,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),1997,1997,,,,Industry (TDS <10ppm),,,Online,Stand-alone,Water & Power,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"3,490,000 USD",,2012-06-27 03:32:13 UTC,41.424472999999999,-91.043205099999994,,,,,,,,,,,,,,Water & Power,,,,,Koch Membrane Systems,,,,,,,,,,,,,,,,,,,,,Water & Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
595,U.S.A.,Americas,North America,Flint,Michigan,Land based,Flint,"4,905",M,1.300000000000000,1.080000000000000,3,1635.000000000000000,0.430000000000000,0.360000000000000,,RO (Reverse Osmosis),,,,Spiral Wound Membrane,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2004,2005,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Online,Stand-alone,,,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2012-06-27 03:32:45 UTC,43.012527400000003,-83.687456200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
596,U.S.A.,Americas,North America,Schuylerville,New York,Land based,Schuylerville,"4,905",M,1.300000000000000,1.080000000000000,2,2452.500000000000000,0.650000000000000,0.540000000000000,,RO (Reverse Osmosis),,,,Spiral Wound Membrane,"Energy Recovery, Inc.",,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2005,2006,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Online,Stand-alone,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2016-06-27 09:47:51 UTC,43.100075500000003,-73.581782500000003,,,,,,,,,,,,,,GE Water & Process Technologies ,,,,,,,,"Energy Recovery, Inc.",,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,Brine Staging,Electric Motor,Feed Control,,,Spiral Wound Membrane,,,,,,,Lime water,Chlorination,,,,,,,,,,,,,,,,,,
597,U.S.A.,Americas,North America,Manchester,New Hampshire,Land based,"North Manchester, Indiana","4,905",M,1.300000000000000,1.080000000000000,4,1226.250000000000000,0.320000000000000,0.270000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2006,2007,,,,Industry (TDS <10ppm),,,Online,,,,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2012-06-27 03:34:38 UTC,42.995639699999998,-71.454789099999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,U.S.A.,Americas,North America,Tampa,Florida,Land based,Tampa ,"4,905",M,1.300000000000000,1.080000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2009,2009,,,,Industry (TDS <10ppm),,,Online,,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2017-12-22 09:31:29 UTC,27.950575000000001,-82.457177599999994,,,,,,,,,,,,,,GE Water & Process Technologies ,,,,,,,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,U.S.A.,Americas,North America,Gila Bend,Arizona,Land based,Gila Bend,"4,900",M,1.290000000000000,1.080000000000000,2,2450.000000000000000,0.650000000000000,0.540000000000000,,MED (Multi-effect Distillation),MVC (Mechanical Vapour Compression),HTE (Horizontal Tube Evaporator),,,,,,,,,,Wastewater,2001,2003,,,,Power stations (TDS <10ppm),Power,,Online,Stand-alone,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"6,750,000 USD",,2014-04-03 15:29:53 UTC,32.947823600000000,-112.716830500000000,,,,,,,,,,,,,,"Ionics, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MVC (Mechanical Vapour Compression),Single Deck,HTE (Horizontal Tube Evaporator),Horizontal Stack,Rectangular,Single Deck,,,,,,,,,,,
601,U.S.A.,Americas,North America,Boise,Idaho,,Boise,"4,900",M,1.290000000000000,1.080000000000000,,,,,,RO (Reverse Osmosis),,,"Toray Industries, Inc.  ",,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2016,,,,,Industry (TDS <10ppm),General,,Online,,GLV,,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2017-11-24 14:42:35 UTC,43.618710200000002,-116.214606799999999,,,,,,,,,,,,,,Ovivo,,,,,,,,,,,,,,,,,,,,,,,,,,GLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,U.S.A.,Americas,North America,,,,Oden Water Association,"4,883",M,1.290000000000000,1.070000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2012,2013,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Online,,Harn R/O Systems Inc.,,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2017-07-31 15:59:10 UTC,48.276577000000003,-116.553465000000003,,,,,,,,,,,,,,Harn R/O Systems Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,Harn R/O Systems Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,U.S.A.,Americas,North America,Geismar,Louisiana,Land based,Geismar,"4,796",M,1.270000000000000,1.050000000000000,1,4796.000000000000000,1.270000000000000,1.050000000000000,,RO (Reverse Osmosis),,,,Hollow Fibre Membrane,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),1994,1994,,,,Industry (TDS <10ppm),,,Presumed Online,Stand-alone,"Evoqua Water Technologies, LLC",100,,,,,,,,,EPC,1,,,,,,,,,,,,,,"3,420,000 USD",,2012-06-27 03:32:16 UTC,30.204363300000001,-91.022601300000005,,,,,,,,,,,,,,Siemens Water Technologies,,,,,DuPont,,,,,,,,,,,,,,,,,,,,,"Evoqua Water Technologies, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Hollow Fibre Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
605,U.S.A.,Americas,North America,Freeport,Texas,Land based,Freeport,"4,796",M,1.270000000000000,1.050000000000000,1,4796.000000000000000,1.270000000000000,1.050000000000000,,MSF (Multi-stage Flash),Flash,,,,,,,,,,,Seawater (TDS 20000ppm - 50000ppm),1966,1969,,,,Industry (TDS <10ppm),Oil & Gas,Esso,Presumed Offline,Stand-alone,Aquatech International Corporation,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"11,010,000 USD",,2016-01-29 16:17:29 UTC,28.954136800000001,-95.359661700000004,,,,,,,,,,,,,,Aquatech International Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,Aquatech International Corporation,,,,,,,Esso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flash,,,,,,,,
606,U.S.A.,Americas,North America,Raymondville,Texas,Land based,La Sara (Willacy County),"4,750",M,1.250000000000000,1.040000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2004,2004,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Online,Stand-alone,Abengoa,100,,,,,,,,,,,,,,,,,,,,,,,,,,2014-09-01 08:59:04 UTC,26.494822299999999,-97.698227200000005,,,,,,,,,,,,,,Abengoa,,,,,,,,,,,,,,,,,,,,,,,,,,Abengoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,U.S.A.,Americas,North America,Iowa,Iowa,Land based,Iowa,"4,551",M,1.200000000000000,1.000000000000000,3,1517.000000000000000,0.400000000000000,0.330000000000000,,ED (Electrodialysis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1992,1993,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Presumed Online,Stand-alone,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"4,530,000 USD",,2012-06-27 03:32:13 UTC,42.000000000000000,-93.500277999999994,,,,,,,,,,,,,,"Ionics, Inc.",,,,,"Ionics, Inc.",,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,U.S.A.,Americas,North America,Sanibel Island,Florida,Land based,Sanibel Island,"4,544",M,1.200000000000000,1.000000000000000,8,568.000000000000000,0.150000000000000,0.120000000000000,,ED (Electrodialysis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1972,1973,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Offline (Decommissioned),Stand-alone,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"4,680,000 USD",,2012-06-27 03:32:11 UTC,26.423888999999999,-82.113611000000006,,,,,,,,,,,,,,"Ionics, Inc.",,,,,"Ionics, Inc.",,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,U.S.A.,Americas,North America,Carmel,California,,Carmel Area Water District,"4,542",M,1.200000000000000,1.000000000000000,,,,,,RO (Reverse Osmosis),,,,Spiral Wound Membrane,,,,,,,,Wastewater,2015,2015,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,"City of Carmel-by-the-Sea, California",Online,,H2O Innovation,,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2017-11-24 14:42:17 UTC,36.555238600000003,-121.923287900000005,,,,,,,,,,,,,,H2O Innovation,,,,,,,,,,,,,,,,,,,,,,,,,,H2O Innovation,,,,,,,"City of Carmel-by-the-Sea, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
613,U.S.A.,Americas,North America,Edisto Beach,South Carolina,Land based,"Edisto Beach RO, SC","4,542",M,1.200000000000000,1.000000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Seawater (TDS 20000ppm - 50000ppm),,,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,Town of Edisto Beach,On Hold,,,,,,,,,,,,EPC,,,,,,,,,,,,,,,"8,000,000 USD",,2014-01-21 04:31:32 UTC,32.479355099999999,-80.334822900000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Town of Edisto Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,U.S.A.,Americas,North America,Tequesta,Florida,Land based,Village of Tequesta WTP,"4,542",M,1.200000000000000,1.000000000000000,,,,,,RO (Reverse Osmosis),,,,Spiral Wound Membrane,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2010,2011,Arcadis NV,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Online,,Biwater Plc,100,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2014-04-03 15:30:34 UTC,26.968112300000001,-80.128654200000000,,,,,,,,,,Arcadis NV,,,,"Biwater, Inc.",,,,,Hydranautics,,,,,,,,,,,,,,,,,,,,,Biwater Plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
615,U.S.A.,Americas,North America,Cape Hattera,North Carolina,Land based,Cape Hattera,"4,542",M,1.200000000000000,1.000000000000000,1,4542.000000000000000,1.200000000000000,1.000000000000000,,RO (Reverse Osmosis),,,,Spiral Wound Membrane,"Energy Recovery, Inc.",,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1999,2000,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,Dare County,Online,Stand-alone,Xylem Inc.,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"8,170,000 USD",,2012-06-27 03:32:19 UTC,35.224621999999997,-75.530150899999995,,,,,,,,,,,,,,ITT Aquious,,,,,,,,"Energy Recovery, Inc.",,,,,,,,,,,,,,,,,,Xylem Inc.,,,,,,,Dare County,,,,,,"RosTek Associates, Inc.",,,,,,,,,,,,,,,,,,,,,,,Single Pass,Brine Staging,Electric Motor,Feed Control,,,Spiral Wound Membrane,,,,,,,Lime water,Chlorination,,,,,,,,,,,,,,,,,,
616,U.S.A.,Americas,North America,Carmel,California,Land based,Carmel Area Wastewater Facility,"4,542",M,1.200000000000000,1.000000000000000,3,1514.000000000000000,0.400000000000000,0.330000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Wastewater,2006,2008,"Carollo Engineers, Inc.",,,Irrigation (TDS <1000ppm),,Pebble Beach Water Company,Online,,H2O Innovation,50,CDM Smith,50,,,,,,,EPC,,,,,,,,,,,,,,,,,2017-12-04 12:23:13 UTC,36.555238600000003,-121.923287900000005,,,,,,0,,,,"Carollo Engineers, Inc.",,,,H2O Innovation / CDM Smith,,,,,Hydranautics,,,,,,,,,,,,,,,,,,,,,Consortium,,,,,,,Pebble Beach Water Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,U.S.A.,Americas,North America,Page Navajo,Arizona,Land based,Page Navajo,"4,524",M,1.200000000000000,1.000000000000000,2,2262.000000000000000,0.600000000000000,0.500000000000000,,MED (Multi-effect Distillation),MVC (Mechanical Vapour Compression),HTE (Horizontal Tube Evaporator),,,,,,,,,,Wastewater,1978,1980,,,,Power stations (TDS <10ppm),Power,,Presumed Online,Stand-alone,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"8,400,000 USD",,2014-04-03 15:29:54 UTC,36.937497200000003,-110.813193799999993,,,,,,,,,,,,,,"Ionics, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MVC (Mechanical Vapour Compression),Single Deck,HTE (Horizontal Tube Evaporator),Horizontal Stack,Rectangular,Single Deck,,,,,,,,,,,
618,U.S.A.,Americas,North America,Dallas,Texas,Land based,Dallas,"4,500",M,1.190000000000000,0.990000000000000,1,4500.000000000000000,1.190000000000000,0.990000000000000,,RO (Reverse Osmosis),,,,Spiral Wound Membrane,,,,,,,,Wastewater,1995,1996,,,,Industry (TDS <10ppm),,,Online,Stand-alone,,,,,,,,,,,EPC,,,,,,,,,,,,,,,"5,790,000 USD",,2016-05-20 14:50:16 UTC,32.783055599999997,-96.806666699999994,,,,,,,,,,,,,,,,,,,Kurita Water Industries Ltd / Toyobo Co. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
619,U.S.A.,Americas,North America,Swansea,Massachusetts,Land based,"Swansea, MA","4,452",M,1.180000000000000,0.980000000000000,3,1484.000000000000000,0.390000000000000,0.330000000000000,"Total production: 8,237 m3/d = 3,785 m3/d Pall MF system for groundwater from the Vinnicum well field + 2 Pall Microza MF skids for RO pretreatment + 4,452 m3/d BWRO system for treatment of tidal Palmer River water",RO (Reverse Osmosis),,,"Toray Industries, Inc.  ",,,,,,,,"Coagulation-Flocculation,Microfiltration",Brackish water or inland water (TDS 3000ppm - <20000ppm),2006,2013,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,Swansea Water District,Online,Stand-alone,"HDR, Inc.",50,"Hoyle, Tanner & Associates, Inc.",50,,,,,,,DB,,,,,,,,,,,,,,,,,2018-05-25 11:12:37 UTC,41.773904170000002,-71.240475649999993,,,,,,,,,Waterline Industries Corporation,,,,"Normandeau Associates, Inc.","HDR, Inc. / Hoyle, Tanner & Associates, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,Consortium,,,,,,,Swansea Water District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coagulation-Flocculation,,Microfiltration,,,,Caustic soda,Chlorination,Sodium Hypochlorite,,,,,,,,,,,,,,,,,
620,U.S.A.,Americas,North America,Keansburg,New Jersey,Land based,Keansburg WTP,"4,428",M,1.170000000000000,0.970000000000000,2,2214.000000000000000,0.580000000000000,0.490000000000000,,RO (Reverse Osmosis),,,"Toray Membrane USA, Inc.",,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2010,2012,Hatch Mott MacDonald,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,Keansburg Borough Council,Online,,"Shanghai Safbon Water Service Co., Ltd",100,,,,,,,,,EPC,,,,,,,,,,,,,,,"2,619,000 USD",,2014-04-03 15:30:12 UTC,40.430606930000003,-74.075317380000001,,,,,,,,,DMR Construction Services Inc.,Hatch Mott MacDonald,,Birdsall Services Group,,Doosan Hydro (now Safbon Water Technologies),,,,,,,,,,,,,,,,,,,,,,,,,,"Shanghai Safbon Water Service Co., Ltd",,,,,,,Keansburg Borough Council,T&M Associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,U.S.A.,Americas,North America,Geismar,Louisiana,Land based,Geismar,"4,360",M,1.150000000000000,0.960000000000000,2,2180.000000000000000,0.580000000000000,0.480000000000000,,RO (Reverse Osmosis),,,,Hollow Fibre Membrane,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),1996,1996,,,,Industry (TDS <10ppm),,,Online,Stand-alone,"Evoqua Water Technologies, LLC",100,,,,,,,,,EPC,,,,,,,,,,,,,,,"3,390,000 USD",,2012-06-27 03:32:16 UTC,30.204363300000001,-91.022601300000005,,,,,,,,,,,,,,Siemens Water Technologies,,,,,DuPont,,,,,,,,,,,,,,,,,,,,,"Evoqua Water Technologies, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Hollow Fibre Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
625,U.S.A.,Americas,North America,Windsor,Colorado,Land based,Windsor,"4,360",M,1.150000000000000,0.960000000000000,8,545.000000000000000,0.140000000000000,0.120000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1973,1975,,,,Industry (TDS <10ppm),General,Eastman Kodak,Presumed Offline,Stand-alone,"Evoqua Water Technologies, LLC",100,,,,,,,,,EPC,,,,,,,,,,,,,,,"4,490,000 USD",,2014-04-03 15:29:56 UTC,40.477481800000000,-104.901361699999995,,,,,,,,,,,,,,Siemens Water Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,"Evoqua Water Technologies, LLC",,,,,,,Eastman Kodak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
